original_comment,cleaned_comment
cerita kura kura balap kelinci,cerita kura kura balap kelinci
bjorka tukang cendol jg bjorka tukang bubur manado,bjorka tukang cendol bjorka tukang bubur manado
tentara,tentara
buatin live aja om it polisi vs rank 1 cyber jawara lihat jago perintah anak anak kampus,buatin live polisi rank cyber jawara lihat jago perintah anak anak kampus
anjir shodan main jaman bocil warnet paket malem,anjir shodan main jaman bocil warnet paket malem
bjorka kaya robinhood gk sih,bjorka kaya robinhood
udah citra gabagus tangkao sembarang berita,udah citra gabagus tangkao sembarang berita
2023 salah tangkap 2025 salah tangkap 2027kalau nama ganti bjorka tangkap,salah tangkap salah tangkap kalau nama ganti bjorka tangkap
bjorka rakyat,bjorka rakyat
denger tuh anak muda gabung klo polisi indonesia bersih kerja nya,denger tuh anak muda gabung klo polisi indonesia bersih kerja
politik bjorka udah kayak dajjal jir suka rakyat nyerang perintah bjorka rakyat data jual inti,politik bjorka udah kayak dajjal jir suka rakyat nyerang perintah bjorka rakyat data jual inti
bjorka uang test psiko sehat sim lari ajang cari duit kedok test,bjorka uang test psiko sehat sim lari ajang cari duit kedok test
polisi emang lawak,polisi emang lawak
ken ketawa takut dosa,ken ketawa takut dosa
mas nya g deteksi bjorka bantu polisi qt tau g,mas deteksi bjorka bantu polisi tau
polisi ken anggap keren bs nangkep bjorka nangkap curi motor aja,polisi ken anggap keren nangkep bjorka nangkap curi motor
bjorka coba donk yg korupsi korupsi ungkap,bjorka coba donk korupsi korupsi ungkap
polisi cuman nangkap maling sendal,polisi cuman nangkap maling sendal
si coklat kena pr4nk,coklat kena prnk
nih narsumnya viral nih gass om,nih narsumnya viral nih gass
banda judol aja yg sgtu gampang y gak nangkep skelas bjorka,banda judol sgtu gampang gak nangkep skelas bjorka
om ded ga bahas tni tinggal pas acara hut tni kasi loh moga almarhum husnul khotimah,ded bahas tni tinggal pas acara hut tni kasi loh moga almarhum husnul khotimah
gw nonton youtube iklan umur hidup cuan,nonton youtube iklan umur hidup cuan
deddy kerja introgasi halus,deddy kerja introgasi halus
polisi indo 2ong,polisi indo ong
4940 ngeri sih,ngeri
lucu polisi indonesia,lucu polisi indonesia
gw kapolri gw selamatin muka polisi nyewa hacker jago bayar mahal langsung tunai iya orang yg bayar lembaga negara takut kena potong dapetnya perak,kapolri selamatin muka polisi nyewa hacker jago bayar mahal langsung tunai orang bayar lembaga negara takut kena potong dapetnya perak
hahaha salah tangkap mulu emng ga malu gmna kerja kerja y,hahaha salah tangkap mulu emng malu gmna kerja kerja
alur cerita death note l vs,alur cerita death note
nih ajar hidup it,nih ajar hidup
nobody perfect no system secure,nobody perfect system secure
gue konten seru seru biar gak badmood gue main nonton ginian,gue konten seru seru biar gak badmood gue main nonton ginian
sosmed buming polisi konoha ketahuaj gak bergunanyaa,sosmed buming polisi konoha ketahuaj gak bergunanyaa
ku polisi pagi pas berangkat kerja lihat polisi fto in tukang becak bukti kerja diri fto pulang,polisi pagi pas berangkat kerja lihat polisi fto tukang becak bukti kerja diri fto pulang
815 better bjir,better bjir
aplikasi nya yg ambil data yg udh apus ganti hp lupa nama bgt,aplikasi ambil data udh apus ganti lupa nama bgt
sm kyk flim the accountant yg bantu it autism,kyk flim the accountant bantu autism
jepang lihat potensi indo yg,jepang lihat potensi indo
kesana kemari mecari bjorka2,kesana kemari mecari bjorka
fufu fafa aja kaga berani nangkep,fufu fafa kaga berani nangkep
polisi tangkap laku udah tau muka cctv aja susah,polisi tangkap laku udah tau muka cctv susah
nyala byorka,nyala byorka
om ded kpn ni bahas yg ramai ijazah pslsu presiden 7dan ijazah anak yg sdh bukti dr roy suryo cs indeks 999 paslu,ded kpn bahas ramai ijazah pslsu presiden ijazah anak sdh bukti roy suryo indeks paslu
kemaren bahas anak sekolah gak makan mbg dikatain bego om konten toong bahas mbg masalah anak2 keracuna mbg bahas gak krn krn kl bahas bearti pecah hubung dg presiden,kemaren bahas anak sekolah gak makan mbg dikatain bego konten toong bahas mbg masalah anak keracuna mbg bahas gak krn krn bahas bearti pecah hubung presiden
undang podhub,undang podhub
podcast tpi kayak cari informasi ni,podcast tpi kayak cari informasi
2226 persis kaya film the accountant the accountant 2 si per utama hacker jarak si hacker nya anak anak butuh khusus,persis kaya film the accountant the accountant per utama hacker jarak hacker anak anak butuh khusus
polisi bubar reformasi total sdm nya mudah akun fufufafa gak bongkar msh byk kalo audit periksa,polisi bubar reformasi total sdm mudah akun fufufafa gak bongkar msh byk kalo audit periksa
bjorka kalo tau roy suryo sadar,bjorka kalo tau roy suryo sadar
gua tu heran jabat aparat tu rakyat pikir kek knp gilir ubah status ubah pikir kek makhluk antah antah beranta gin aparat jabat bangsat gitu,gua heran jabat aparat rakyat pikir kek knp gilir ubah status ubah pikir kek makhluk antah antah beranta gin aparat jabat bangsat gitu
gue percaya lu bang tugas perintah bobrok tahu salah tangkap nya aja ga maaf publik mending bubar aja ga,gue percaya tugas perintah bobrok tahu salah tangkap maaf publik mending bubar
om ded trapsnya kayak yougotthis,ded trapsnya kayak yougotthis
nnti eug suruh bjorka serang yt nya bang dedy hahaha,nnti eug suruh bjorka serang dedy hahaha
selidik bapa rojak ayu ting ting,selidik bapa rojak ayu ting ting
hina coy jabat alih isu,hina coy jabat alih isu
kerja cyber tuh polisi kerja jalan ajah malas suruh utak atik it polisi indonesia busuk,kerja cyber tuh polisi kerja jalan ajah malas suruh utak polisi indonesia busuk
2414 anak ajar baca siklus internet game cupu cari bobol game hack cheat,anak ajar baca siklus internet game cupu cari bobol game hack cheat
bjorka baca komentar,bjorka baca komentar
gak nyangka 855sekeren visual ciamik cerita penuh hikmah untung,gak nyangka keren visual ciamik cerita penuh hikmah untung
chattan pake apk dana worth it om wkwk,chattan pake apk dana worth
indonesia banyak pimpin boomer hidup jaman prasasti susah aware teknologi tambah pola pikir gak maju,indonesia banyak pimpin boomer hidup jaman prasasti susah aware teknologi tambah pola pikir gak maju
our duke is exist or non exist either ghost or alive no one can defeat duke,our duke exist non exist either ghost alive one can defeat duke
lue mahu bjorka gue kasi org raja hacker,lue mahu bjorka gue kasi org raja hacker
motor hilang lapor polisi kek aja formalitas ajaa gak solusiiiii,motor hilang lapor polisi kek formalitas ajaa gak solusiiiii
bayar mahal ga kerja ga pecat gimana negara ga hancur le,bayar mahal kerja pecat gimana negara hancur
mutarmutar bahas bjorka,mutarmutar bahas bjorka
anak punk polisi teu aneh,anak punk polisi teu aneh
gugur prestasi polisi hasil nangkap hacker wifi tetangga jabat mata,gugur prestasi polisi hasil nangkap hacker wifi tetangga jabat mata
gw lulus sekolah gwa komunitas cyber army 2017 nyari data desa data duduk mudah connect internet data database record hystory kadang aneh polisi polisi kerja ahok rocky gerung polisi minimal s1 biar gak tolol anak2 yg putus sekolah,lulus sekolah gwa komunitas cyber army nyari data desa data duduk mudah connect internet data database record hystory kadang aneh polisi polisi kerja ahok rocky gerung polisi minimal biar gak tolol anak putus sekolah
curiga abang bikin cheat point blank kalong,curiga abang bikin cheat point blank kalong
cyber polisi gampang asli klw nangkap bjorka asli bandar judol tp main gak tangkap yg tangkap main judol bjorka palsu,cyber polisi gampang asli klw nangkap bjorka asli bandar judol main gak tangkap tangkap main judol bjorka palsu
gua g ngurus bjorka yg gua ganti kapolri,gua ngurus bjorka gua ganti kapolri
onno w purbo undang om,onno purbo undang
ommmmm dedi orang bawa flipperzero omm hati hati hahahaha bulan yeayyy catch me if you can mantapp banget,ommmmm dedi orang bawa flipperzero omm hati hati hahahaha bulan yeayyy catch you can mantapp banget
hacker byorka sy alumni anak2 grup app nimbuzz and ym android karna anggota diaana,hacker byorka alumni anak grup app nimbuzz and android karna anggota diaana
cari citra cari simpati masyarakat pangkat untung pribadi rugi,cari citra cari simpati masyarakat pangkat untung pribadi rugi
hacker modal gratis pulici kayak jual sawah,hacker modal gratis pulici kayak jual sawah
narasumber y ditangkep polisi aja gebukin biar bonyok suruh kasih tau bjorka y tau,narasumber ditangkep polisi gebukin biar bonyok suruh kasih tau bjorka tau
bjorka buka data2 curang joko antek2nya korupsi,bjorka buka data curang joko antek korupsi
kemarin kena tipu telegram,kemarin kena tipu telegram
kalimantan alumni sekolah sy ngajar wkwk,kalimantan alumni sekolah ngajar
kalo denger india gila gila nya teknologi bener gua inget fb gua hack ganti nama foto orang india,kalo denger india gila gila teknologi bener gua inget gua hack ganti nama foto orang india
yg tangkap bjorka tp bjirka,tangkap bjorka bjirka
irt liat berita foto polisi bjorka baju oren allah eling pollll liat wajah bjorka oren feeling hmmm 90,irt liat berita foto polisi bjorka baju oren allah eling pollll liat wajah bjorka oren feeling hmmm
vina aja salah tangkap lgi yg ky gnii,vina salah tangkap lgi gnii
knp ga pikir cari nangkep knp ga ningkatin cyber security nya,knp pikir cari nangkep knp ningkatin cyber security
kreak klitih biar klo jadi orang bacok ladusing tindak,kreak klitih biar klo jadi orang bacok ladusing tindak
bug bounty yg dapet sertif doang wkwkwk klo perintah,bug bounty dapet sertif doang klo perintah
ambarawa kuat kuat bang,ambarawa kuat kuat
parah sdm wkwkwk bikin benteng web nya cari2 musuh,parah sdm bikin benteng web cari musuh
yg bahas menit 36 instansi kek dah yg nih,bahas menit instansi kek dah nih
ngelawak si pramuka,ngelawak pramuka
narasumber adl bjorka,narasumber adl bjorka
depan mata aja ndak tangkap sok2an nangkap bjorka konyol,depan mata ndak tangkap sok nangkap bjorka konyol
inget kmrin yg canggih layar tulis lorem ipsum,inget kmrin canggih layar tulis lorem ipsum
polisi kena buly cook,polisi kena buly cook
003335 sih hobi programing social media advertiser,hobi programing social media advertiser
numpang senyum,numpang senyum
liat kualitas ladusing,liat kualitas ladusing
kreatif banget niat bikin kontennya855,kreatif banget niat bikin konten
emg dasar perintah konoha tdk yg pintar skalinya tangkap kambing hitam,emg dasar perintah konoha tdk pintar skalinya tangkap kambing hitam
bjorka pahlawan,bjorka pahlawan
personilnya yg pilih hasil jual sawah krn sdm trs klaim nangkep bjorka koplak koplak,personilnya pilih hasil jual sawah krn sdm trs klaim nangkep bjorka koplak koplak
sistem aman,sistem aman
aneh nya rencana nya kabupaten bekas desa pakai sistem evoting pilih kepala desa 2026 lucu aja sudab kuat cyber scurity,aneh rencana kabupaten bekas desa pakai sistem evoting pilih kepala desa lucu sudab kuat cyber scurity
benjamin angel the movie who am i yg nangkep hacker hacker,benjamin angel the movie who nangkep hacker hacker
mas dedy biorrr,mas dedy biorrr
yg tim polisi cybernya ungkap bjorka skrg dn yg tangkap lucu negara konoha,tim polisi cybernya ungkap bjorka skrg tangkap lucu negara konoha
kaya pilem the accoutant 1 ama 2,kaya pilem the accoutant ama
gue aj yg paham cyber security ga percaya mudah polisi nangkap bjorka wkwkwkwk,gue paham cyber security percaya mudah polisi nangkap bjorka wkwkwkwk
kemaren yg jual data rakyat ngeriii sih sih yg lengkapin,kemaren jual data rakyat ngeriii lengkapin
bjorka sambo blok,bjorka sambo blok
wkwkwkw gw nonton youtube pake youtube vanced gada iklan modifikasi tampil,wkwkwkw nonton youtube pake youtube vanced gada iklan modifikasi tampil
keren halhal positif,keren halhal positif
ken bgt liat goblin bahlil,ken bgt liat goblin bahlil
bantu yariin sapi hilang aja jual sapi ndak ketemu cur,bantu yariin sapi hilang jual sapi ndak ketemu cur
salam kenal om dedy salam dr wamena papua,salam kenal dedy salam wamena papua
sok sok an nagkap bjorka ngurus ijazah palsu aja gk becus,sok sok nagkap bjorka ngurus ijazah palsu becus
muncul sembunyi,muncul sembunyi
bjorka,bjorka
nangkep maling jelas2 tau lokasi aja ga beres2 nangkep hacker lokasi ga,nangkep maling jelas tau lokasi beres nangkep hacker lokasi
dikadalin kadalin,dikadalin kadalin
malu maluin institusi yg ls undur polri tangan mu udah ga harga,malu maluin institusi undur polri tangan udah harga
bjorka depan om ded,bjorka depan ded
cobaq hekker jadi asn masuk polisi tni staf negara,cobaq hekker jadi asn masuk polisi tni staf negara
yu beli produk gudang garam biar kariawan nya selamat phk,beli produk gudang garam biar kariawan selamat phk
bjorka nonton gak yaa,bjorka nonton gak yaa
bjorka yg asli podcast,bjorka asli podcast
polisi konoha hah hah hah,polisi konoha hah hah hah
biasa kalo aparat yg viral alih isu,biasa kalo aparat viral alih isu
eleh harap polisi nangkep rakyat indo tau kerja polisi,eleh harap polisi nangkep rakyat indo tau kerja polisi
komunikasi game om aman,komunikasi game aman
1754 polisi gak prestasi tp butuh,polisi gak prestasi butuh
om ded undang veda ega pratama runer up red bul balap yg prnah om ded undang hitam putih msh,ded undang veda ega pratama runer red bul balap prnah ded undang hitam putih msh
bjorka update status polisi langsung malu,bjorka update status polisi langsung malu
hacker bjorka tangkap iqnya polisi,hacker bjorka tangkap iqnya polisi
kelas bjorka tangkap judol yg rampok tangkap judol,kelas bjorka tangkap judol rampok tangkap judol
terima kasih,terima kasih
ngga sih takut alih isu doang nih nangkep bjorka kw,ngga takut alih isu doang nih nangkep bjorka
yg ditangkep yg laku jd ngaku kalo diiksa terus2an ksus salah tangkap tp ujung2nya ngaku karna gakuat siksa adil pihak yg tp adil org2 duit pandang,ditangkep laku ngaku kalo diiksa terus ksus salah tangkap ujung ngaku karna gakuat siksa adil pihak adil org duit pandang
bjorka sdh berbln yg skrg rame lg tp ttp aja msh blm bsa nangkep laku yg asli,bjorka sdh berbln skrg rame ttp msh blm bsa nangkep laku asli
keinget pakai wa mod biar tau chat temen2 yg hapus,keinget pakai mod biar tau chat temen hapus
gua harap si tangkap,gua harap tangkap
polisi gak fikiran orang kyak bjorka rangkul ngamanin cyber negarasoal gaji atur ribu triliun korup,polisi gak fikiran orang kyak bjorka rangkul ngamanin cyber negarasoal gaji ribu triliun korup
narasumber hati bnget bicara nya bnyk jebak,narasumber hati bnget bicara bnyk jebak
kesini kesana tuh si coklat si anaconda bikin geger eh piton sawah tangkap,kesini kesana tuh coklat anaconda bikin geger piton sawah tangkap
mah polisi nangkep biar jabat aja,mah polisi nangkep biar jabat
perintah isi gen boomer,perintah isi gen boomer
wajar klo reformasi nangkep fufufafa aja syuuuiliit,wajar klo reformasi nangkep fufufafa syuuuiliit
emng nangkep bjorka,emng nangkep bjorka
menit 5522 bicara bang teguh whatspp setan pake teman kerja,menit bicara teguh whatspp setan pake teman kerja
ahhh beli robot aja kaya gitu,ahhh beli robot kaya gitu
tau undang om dedy muncul ig,tau undang dedy muncul
jd pahlawn ehh slah tangkap tangkep koruptor ja susah mo twngkp hacker kelas bjorka kwkwkwk,pahlawn ehh slah tangkap tangkep koruptor susah twngkp hacker kelas bjorka kwkwkwk
judul podcstnya tau bjorka fufufifi d,judul podcstnya tau bjorka fufufifi
lo hacker bang gue aja awam ga percaya kalo yg tangkep bjorka,hacker gue awam percaya kalo tangkep bjorka
sibuk bangat urusin polisi salah tangkap bjorka instansi diurusin noh recruitment yg tau anak2 bangsa yg semngat bela negara impianya kubur karna uang b y r beking yg tau banyak lawan rakyat bayak yg baik yg oaling rakyat arogansi,sibuk bangat urusin polisi salah tangkap bjorka instansi diurusin noh recruitment tau anak bangsa semngat bela negara impianya kubur karna uang beking tau banyak lawan rakyat bayak baik oaling rakyat arogansi
kalo konoha hack wkwkwk hebat negeri konoha,kalo konoha hack hebat negeri konoha
polisi ga prestasi wkwkwkwk gawat bisa2 tuntut cemar nama tenang cemar nama laku institusi ga hina instansi seragam udah hina,polisi prestasi wkwkwkwk gawat tuntut cemar nama tenang cemar nama laku institusi hina instansi seragam udah hina
tuju judul persis insting,tuju judul persis insting
duuh strategi kuda troya tau,duuh strategi kuda troya tau
entar orang nyari nyari sumbang pakai map tangkap bilang bandar judol maklum taun sarana naikin jabat,entar orang nyari nyari sumbang pakai map tangkap bilang bandar judol maklum taun sarana naikin jabat
om ded kayak gali gali nih,ded kayak gali gali nih
cerita menit 2900 gw simpul pilih2 bantu,cerita menit simpul pilih bantu
283725 suara perempuan,suara perempuan
bjorka ambil uang dpr ga sii kuras rekening,bjorka ambil uang dpr sii kuras rekening
pulisi maluuuatau pulisi udah gak malu,pulisi maluuuatau pulisi udah gak malu
jngan nangkap hacker nangkap ular sapi pnjahat curi mlah bombe yg,jngan nangkap hacker nangkap ular sapi pnjahat curi mlah bombe
ganti boomer perintah yg gk melek teknologi,ganti boomer perintah melek teknologi
polisi kalo lu hilang kambing bgitu lu lapor hilang sapi neraka penuh polisi pol pp dishub pns gaji buta jabat korup,polisi kalo hilang kambing bgitu lapor hilang sapi neraka penuh polisi pol dishub pns gaji buta jabat korup
polisi kerja koleksi istri sirih pelihara gundik nangkap istri orang,polisi kerja koleksi istri sirih pelihara gundik nangkap istri orang
gausah susah2 tangkep bjorka tangkep fufufafa aja dlu engga,gausah susah tangkep bjorka tangkep fufufafa dlu engga
nih org2 perintah tuh berfikir rakyat banyak umur gampang bgt kibulin buset adek gue smp aja gak percaya bjorka hasil ketangkep,nih org perintah tuh berfikir rakyat banyak umur gampang bgt kibulin buset adek gue smp gak percaya bjorka hasil ketangkep
om takut bnget masalah dg polisi,takut bnget masalah polisi
hacker kelas ga ketangkep ecek ecek,hacker kelas ketangkep ecek ecek
pinter hack bias nilai teori bagus mem oleh kerja sesuai badang setandarnya lamar kerja nilai teori nyaring bener ga sih nada penasaran,pinter hack bias nilai teori bagus mem kerja sesuai badang setandarnya lamar kerja nilai teori nyaring bener nada penasaran
ancam ngaku point,ancam ngaku point
undangg wasit arab vs indonesia,undangg wasit arab indonesia
kalo cari perintah aneh sumber indonesia wkwkwwkw,kalo cari perintah aneh sumber indonesia wkwkwwkw
bg konflik penting,konflik penting
nama isi org org yg gila kuasa,nama isi org org gila kuasa
kepala mereng mulu dah berat headsetnya,kepala mereng mulu dah berat headsetnya
biorka muncul lo tangkap,biorka muncul tangkap
ladusing negeri konoha,ladusing negeri konoha
maaf ora bjorka dah gampang aja milik akun fufufafa berani jujur hebat,maaf ora bjorka dah gampang milik akun fufufafa berani jujur hebat
kayak ngk tau polisi indonesia aja tangkap aja biar kerja urus klarifikasi gitu aja pola,kayak ngk tau polisi indonesia tangkap biar kerja urus klarifikasi gitu pola
polisi nyarik pangkat facebluesmiling,polisi nyarik pangkat facebluesmiling
nangkep hacker nangkep guna narkoboy jebak pura jual yg jual yg nangkep yg aneh nya yg d tangkep penyalahgunaan edar wkwkwk lawak,nangkep hacker nangkep narkoboy jebak pura jual jual nangkep aneh tangkep penyalahgunaan edar lawak
no system is safe,system safe
lu pinter gak bantu polri bang ungkap bjorka biar ilmu manfaat jalan,pinter gak bantu polri ungkap bjorka biar ilmu manfaat jalan
klo kursus ethical hacker daftar,klo kursus ethical hacker daftar
lu udah pinter2 bang knpa ga bikin mesin cetak uang aja,udah pinter knpa bikin mesin cetak uang
pupupakpak kuskas tayang layar tancep bebarengan g30spki aja pura pura mencret,pupupakpak kuskas tayang layar tancep bebarengan gspki pura pura mencret
alangkah malu nya polisi sotoy yaa psti dlm anjirrr malu indonesia gua,alangkah malu polisi sotoy yaa psti dlm anjirrr malu indonesia gua
ngk undang pakar telematika sang ungkap video gambar pnas,ngk undang pakar telematika sang ungkap video gambar pnas
hahahha negara konoha hukum beli kuasa bela mati mati salah bela asal rakyat miskin adil oknum karna lengkap tutup busuk,hahahha negara konoha hukum beli kuasa bela mati mati salah bela asal rakyat miskin adil oknum karna lengkap tutup busuk
gimana heker kerja perintah kalok bayar nya aja kadang gak liat liar heker pelihara gaji gede biar pro perintah,gimana heker kerja perintah kalok bayar kadang gak liat liar heker pelihara gaji gede biar pro perintah
haker game,haker game
si kadal kadalin hahaha data langsung buka pol baik contoh nih kaya atur lalin jam kerja 5 pagi udh standby dh titik2 macet atur lalin foto doang udah jam sibuk kerja macet udh selesai coba deh terima kritik saran ubah nangkep yg gede2,kadal kadalin hahaha data langsung buka pol baik contoh nih kaya lalin jam kerja pagi udh standby titik macet lalin foto doang udah jam sibuk kerja macet udh selesai coba terima kritik saran ubah nangkep gede
menit 747 suara,menit suara
kalo ajar kaya gin dmana wadah plis serius gw ken tau,kalo ajar kaya gin dmana wadah plis serius ken tau
efek reformasi polisi,efek reformasi polisi
apple daun nih,apple daun nih
polisiii,polisiii
bjorwi,bjorwi
yah kena karma ngejelekin ins ansi yg ga beres,yah kena karma ngejelekin ins ansi beres
lawak siber pold jatim njir nangkep in main judol palak 15jt kepala bandar nya leha leha wkkw 702,lawak siber pold jatim njir nangkep main judol palak kepala bandar leha leha wkkw
trik simpel chat rahasia pakai fitur chat game dukung pm,trik simpel chat rahasia pakai fitur chat game dukung
coba undang pace computer om,coba undang pace computer
alah dsuruh ngaku klo die bjorka wkwkwkw,alah dsuruh ngaku klo die bjorka wkwkwkw
tau lomba hacker,tau lomba hacker
sorot pertamina,sorot pertamina
plot wist nya bjorkanya,plot wist bjorkanya
reformasi,reformasi
malu 7 angkat akademi,malu angkat akademi
anak punk bawa bawa aahhh,anak punk bawa bawa aahhh
maling motor aja gabisa nangkep tuh polisi indonesia hacker,maling motor gabisa nangkep tuh polisi indonesia hacker
bjorka mimpi maling motor aja 6 th ketemu,bjorka mimpi maling motor ketemu
bener sih gw main game suka banget pake cheat tengelam cheat cuman bikin flashdis killer ga karna pc rusak,bener main game suka banget pake cheat tengelam cheat cuman bikin flashdis killer karna rusak
temen gw kena 4 orang 15jt kepala,temen kena orang kepala
polisi kerja emg gitu pura2 kerja,polisi kerja emg gitu pura kerja
polisi tidur ajah ngribetin bangun,polisi tidur ajah ngribetin bangun
makluk anak sma,makluk anak sma
sekolah tuh polisi,sekolah tuh polisi
tangkap biji r ka,tangkap biji
gampang banget nangkap bjorka,gampang banget nangkap bjorka
polisi yg bodoh yg tamat sma tes masuk mampu gaji gede ank kuliah s1 sulit cari kerja,polisi bodoh tamat sma tes masuk mampu gaji gede ank kuliah sulit cari kerja
boro boro bjorka fufufafa yg terang benderang tdk mamputaunys amplop amplop amplop parcok,boro boro bjorka fufufafa terang benderang tdk mamputaunys amplop amplop amplop parcok
wapres jago ai,wapres jago
mampu polisi cybercrime sampe si mimpi tangkap bjorka eeeee tangkap biawak,mampu polisi cybercrime sampe mimpi tangkap bjorka eeeee tangkap biawak
biorka comunitas individu yg jalan orang kaga ketangkep,biorka comunitas individu jalan orang kaga ketangkep
undang gua ded,undang gua ded
orng indo orng russia,orng indo orng russia
deddy investigasi diam2 hahah kalo lu jd bjorka,deddy investigasi diam hahah kalo bjorka
papa bob,papa bob
janankan bjorka bandar judol aja ga dibtangkap tinggal bayar kapolda kapolres kapolsekberes narkoba aja polisi yg jujur bebastugaskan dinkriminalisasi jamin skck bayar kasih aja gocap beres tu,janankan bjorka bandar judol dibtangkap tinggal bayar kapolda kapolres kapolsekberes narkoba polisi jujur bebastugaskan dinkriminalisasi jamin skck bayar kasih gocap beres
patroli cyber indonesia tuh bentuk si bang tau canggih perintah,patroli cyber indonesia tuh bentuk tau canggih perintah
nih polisi random banget sih nangkep orang salah tangkap mulu heran polisi bilang nangkep byorca udah ngakak parah sih trust issue gua gede banget polisi konoha,nih polisi random banget nangkep orang salah tangkap mulu heran polisi bilang nangkep byorca udah ngakak parah trust issue gua gede banget polisi konoha
komen pedas takut d tangkap,komen pedas takut tangkap
pok lis kalo nangkep yg gaib teroris byorka cepet gilir nangkep silvester manusia oten benci islam gak,pok lis kalo nangkep gaib teroris byorka cepet gilir nangkep silvester manusia oten benci islam gak
polisi nangkep kucing aja,polisi nangkep kucing
ngobrol game om pb server room dua siti by one chttan,ngobrol game server room siti one chttan
iyaa abg bjorka nya gak hhaha,iyaa abg bjorka gak hhaha
tangkap begal geng motor pungli nyata aja susah gaib,tangkap begal geng motor pungli nyata susah gaib
seru jd hacker yaa,seru hacker yaa
mrka nangkap bjorka maen kanibal kambing hitam,mrka nangkap bjorka maen kanibal kambing hitam
polisi india,polisi india
wni yg sakit hati sistem negara konoha gila,wni sakit hati sistem negara konoha gila
daging makasih edukasi nya om,daging makasih edukasi
jamin anti rungkad,jamin anti rungkad
udah kasih kisi kisi nya bjorka anak butuh khusus kaya maaf cuman analisis aja,udah kasih kisi kisi bjorka anak butuh khusus kaya maaf cuman analisis
sehat bang teguh,sehat teguh
gimana kabar anak buah pulisi yg bikin lapor atas wft bjorka,gimana kabar anak buah pulisi bikin lapor wft bjorka
ken tau isi ipadnya aja aplikasi,ken tau isi ipadnya aplikasi
nangkap siplester aja gak,nangkap siplester gak
byorkabjirka,byorkabjirka
netizen sabar aja uji adil,netizen sabar uji adil
nangkap maling motor aja gk nangkap byorka,nangkap maling motor nangkap byorka
polri gak guna beban doang,polri gak beban doang
mudah paulo,mudah paulo
bjorka tangkap,bjorka tangkap
wih nyenggol danantara,wih nyenggol danantara
bang ded coba undang pace komputer,ded coba undang pace komputer
wadidaww,wadidaww
jgn nangkap goib yg wujud aja salah nangkep,jgn nangkap goib wujud salah nangkep
maklumin aja kerja santai kaya gin kerja gk becuss,maklumin kerja santai kaya gin kerja becuss
astaghfirullah,astaghfirullah
boro2 ladusing nangkep bjiorja ahli ladusing main sabotase,boro ladusing nangkep bjiorja ahli ladusing main sabotase
abang narsum,abang narsum
mah yg d tangkep hacker anak depo juta saldo 5juta,mah tangkep hacker anak depo juta saldo juta
polisi konoha tobat,polisi konoha tobat
klu tau gk gerak bongkar dog,klu tau gerak bongkar dog
4616 tuh bodoh fufufafa,tuh bodoh fufufafa
om ded bikin sayembara hilangin akun om klo tau hebat hacker,ded bikin sayembara hilangin akun klo tau hebat hacker
perintah aplikasi sentuhtanahku bocor dampak gimana,perintah aplikasi sentuhtanahku bocor dampak gimana
nangkap silfester aja kga gimana nangkap hacker,nangkap silfester kga gimana nangkap hacker
inh gila y pimpin negra ga tau gimba caramikir y hrus y talenta inh kasih memejukan negri bosss jgn korupsi mulu lu tikus ahk,inh gila pimpin negra tau gimba caramikir hrus talenta inh kasih memejukan negri bosss jgn korupsi mulu tikus ahk
tampang lo kayak anak punk bro,tampang kayak anak punk
wow cyber indonesia sepele orang,wow cyber indonesia sepele orang
sasar program mbg paksa sasar,sasar program mbg paksa sasar
mantap bos dedi,mantap bos dedi
susah klu d kadalinb kayak ciek bodoh,susah klu kadalinb kayak ciek bodoh
pmth blum situ sadar gen boomber nth klo dah gen zm yg melek it,pmth blum situ sadar gen boomber nth klo dah gen melek
sok sok nangkep hacker brantas judol aja ga kelar kelar,sok sok nangkep hacker brantas judol kelar kelar
hitung ngomong simple kali,hitung ngomong simple kali
2533 iq rata2 yg autis ngulik apa kalo iq rendah ga,rata autis ngulik apa kalo rendah
yg potensi bagus ginian anggurin negara pdahal klo gunain kerjasama bareng imbas jg skrng gilir udah colong kalang kabut sendiri sok sok an nangkep s hackeremng lawak kali polisi tidur ituu,potensi bagus ginian anggurin negara pdahal klo gunain kerjasama bareng imbas skrng gilir udah colong kalang kabut sendiri sok sok nangkep hackeremng lawak kali polisi tidur ituu
alhamdulillah 855bikin hibur meaningful cerita relatable hadiah wow,alhamdulillah bikin hibur meaningful cerita relatable hadiah wow
kerja gin yah bisa semena mena rakyat,kerja gin yah semena mena rakyat
polisi ngawur maksud yaaa,polisi ngawur maksud yaaa
prestasi kerja nyata bener aja udah susah laku institusi kaga kerja sulit percaya udh banget bobrok reformasi rusak sistem dongo banget gocek anak punk,prestasi kerja nyata bener udah susah laku institusi kaga kerja sulit percaya udh banget bobrok reformasi rusak sistem dongo banget gocek anak punk
g sihhh haker jd robin hood,sihhh haker robin hood
lite big,lite big
gua suka nonton podkas yg gua benci cc nya gak aktif tdk play ruang sunyi,gua suka nonton podkas gua benci gak aktif tdk play ruang sunyi
coba tanyain antonkill barabravaz alecztuyos baztard engine tau mreka tau,coba tanyain antonkill barabravaz alecztuyos baztard engine tau mreka tau
sotau bjorka wkwk,sotau bjorka
lu percaya anak lulus sma nangkep hacker kelas kakap ngimpi,percaya anak lulus sma nangkep hacker kelas kakap ngimpi
